index,town_name,district_name,番地詳細
0,旭町,1丁目,
1,旭町,2丁目,"1～18,23～27"
2,旭町,2丁目,19～22
3,旭町,3丁目,1～21
4,旭町,3丁目,22の一部
5,旭町,4丁目,1～6
6,旭町,4丁目,7～22
7,旭町,5・6丁目,
8,東町,,
9,東町,,673のみ米ケ崎町会
10,市場,1丁目,
11,市場,2丁目,
12,市場,3・4丁目,
13,市場,5丁目,
14,印内,1・2丁目,
15,印内,3丁目,"1～11,23～39"
16,印内,3丁目,12～22
17,印内町,,京葉線沿い
18,印内町,,400番台 春日神社側
19,大穴北,1～3丁目,
20,大穴北,4丁目,"1,8～11,30～33"
21,大穴北,4丁目,"2～5,14～28"
22,大穴北,5丁目,
23,大穴北,6～8丁目,
24,大穴町,,
25,大穴南,1～5丁目,
26,大神保町,,
27,海神,1丁目,
28,海神,2丁目,1～22、23の一部
29,海神,2丁目,23の一部
30,海神,3・4丁目,
31,海神,5丁目,"1～15,20～29"
32,海神,5丁目,16～18
33,海神,6丁目,"1～15,19～30  18（高架下より東側）"
34,海神,6丁目,"16,17  18（高架下より西側）"
35,海神町,2・3丁目,
36,海神町西,1丁目,
37,海神町西,1丁目,船橋中央病院附属看護  専門学校の2ヶ所のみ
38,海神町東,1丁目,
39,海神町南,1丁目,下記以外
40,海神町南,1丁目,"700番台,1730番台"
41,葛飾町,2丁目,
42,金杉,1丁目,
43,金杉,2丁目,
44,金杉,3～6丁目,
45,金杉,7丁目,1～11
46,金杉,7丁目,12～56
47,金杉,8・9丁目,
48,金杉台,1・2丁目,団地以外
49,金杉台,1・2丁目,金杉台団地
50,金杉町,,船橋・我孫子線より西側
51,金杉町,,医療センターの南側
52,金杉町,,船橋・我孫子線より東側
53,金堀町,,
54,上山町,1丁目,
55,上山町,2丁目,1～425
56,上山町,2丁目,前貝塚町寄りの2箇所のみ
57,上山町,2丁目,426～492  495～658
58,上山町,2丁目,493494
59,上山町,3丁目,
60,北本町,1丁目,3～6
61,北本町,1丁目,10141617
62,北本町,1丁目,"11,12,15  19～21"
63,北本町,2丁目,
64,行田,1丁目,
65,行田,2丁目,
66,行田,3丁目,"1～11（行田団地,他）"
67,行田,3丁目,12～26
68,行田町,,1～40番台
69,行田町,,70～300番台
70,楠が山町,,
71,車方町,,
72,高野台,1～5丁目,
73,古作,1丁目,下記を除く
74,古作,1丁目,7のライオンズマンション
75,古作,2丁目,
76,古作,3丁目,"1,2,7～16"
77,古作,3丁目,3～5
78,古作,4丁目,
79,古作町,,
80,小野田町,,
81,小室町,,
82,米ケ崎町,,
83,古和釜町,,700～900番台
84,古和釜町,,100～300番台
85,古和釜町,,"600,1700番台"
86,海神,1丁目,
87,海神,2丁目,1～22、23の一部
88,海神,2丁目,23の一部
89,海神,3・4丁目,
90,海神,5丁目,"1～15,20～29"
91,海神,5丁目,16～18
92,海神,6丁目,"1～15,19～30  18（高架下より東側）"
93,海神,6丁目,"16,17  18（高架下より西側）"
94,海神町,2・3丁目,
95,海神町西,1丁目,
96,海神町西,1丁目,船橋中央病院附属看護  専門学校の2ヶ所のみ
97,海神町東,1丁目,
98,海神町南,1丁目,下記以外
99,海神町南,1丁目,"700番台,1730番台"
100,葛飾町,2丁目,
101,金杉,1丁目,
102,金杉,2丁目,
103,金杉,3～6丁目,
104,金杉,7丁目,1～11
105,金杉,7丁目,12～56
106,金杉,8・9丁目,
107,金杉台,1・2丁目,団地以外
108,金杉台,1・2丁目,金杉台団地
109,金杉町,,船橋・我孫子線より西側
110,金杉町,,医療センターの南側
111,金杉町,,船橋・我孫子線より東側
112,金堀町,,
113,上山町,1丁目,
114,上山町,2丁目,1～425
115,上山町,2丁目,前貝塚町寄りの2箇所のみ
116,上山町,2丁目,426～492  495～658
117,上山町,2丁目,493494
118,上山町,3丁目,
119,北本町,1丁目,3～6
120,北本町,1丁目,10141617
121,北本町,1丁目,"11,12,15  19～21"
