町 名,Unnamed: 2,可燃,Unnamed: 4,不燃,資源  ペット,有価物,番地詳細,nth_week,weekday_info,town_name,district_name
あ,旭町1丁目,"0,3",1,2木,2,2.0,,2,3,旭町,1丁目
あ,旭町2丁目,"0,3",1,4木,2,2.0,"1～18,23～27",4,3,旭町,2丁目
あ,旭町2丁目,"0,3",1,4木,2,3.0,19～22,4,3,旭町,2丁目
あ,旭町3丁目,"0,3",1,4木,2,2.0,1～21,4,3,旭町,3丁目
あ,旭町3丁目,"0,3",1,4木,2,3.0,22の一部,4,3,旭町,3丁目
あ,旭町4丁目,"0,3",1,4木,2,2.0,1～6,4,3,旭町,4丁目
あ,旭町4丁目,"0,3",1,4木,2,3.0,7～22,4,3,旭町,4丁目
あ,旭町5・6丁目,"0,3",1,2木,2,2.0,,2,3,旭町,5・6丁目
あ,東町,"1,4",1,3木,0,0.0,,3,3,東町,
あ,東町,"1,4",1,3木,2,2.0,673のみ米ケ崎町会,3,3,東町,
い,市場1丁目,"1,4",1,3火,0,0.0,,3,1,市場,1丁目
い,市場2丁目,"1,4",1,3木,0,0.0,,3,3,市場,2丁目
い,市場3・4丁目,"1,4",1,3火,0,0.0,,3,1,市場,3・4丁目
い,市場5丁目,"1,4",1,3木,0,0.0,,3,3,市場,5丁目
い,印内1・2丁目,"0,3",1,2月,4,1.0,,2,0,印内,1・2丁目
い,印内3丁目,"0,3",1,2月,4,1.0,"1～11,23～39",2,0,印内,3丁目
い,印内3丁目,"0,3",1,1木,4,1.0,12～22,1,3,印内,3丁目
い,印内町,"2,5",1,4月,4,1.0,京葉線沿い,4,0,印内町,
い,印内町,"2,5",1,2月,4,1.0,400番台 春日神社側,2,0,印内町,
お,大穴北1～3丁目,"1,4",0,2金,3,2.0,,2,4,大穴北,1～3丁目
お,大穴北4丁目,"1,4",0,1金,3,0.0,"1,8～11,30～33",1,4,大穴北,4丁目
お,大穴北4丁目,"1,4",0,1金,3,2.0,"2～5,14～28",1,4,大穴北,4丁目
お,大穴北5丁目,"1,4",0,1金,3,2.0,,1,4,大穴北,5丁目
お,大穴北6～8丁目,"1,4",0,2金,3,2.0,,2,4,大穴北,6～8丁目
お,大穴町,"1,4",0,2金,3,2.0,,2,4,大穴町,
お,大穴南1～5丁目,"1,4",0,2金,3,2.0,,2,4,大穴南,1～5丁目
お,大神保町,"2,5",0,1金,3,0.0,,1,4,大神保町,
